Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Tenda_E62F18;04:95:E6:E6:2F:18;;9;No;WPA2,AES-CCM;No;270.0;0;2;0;0;0;0;0;;;Tue Apr 16 02:03:49 2019;Tue Apr 16 02:03:49 2019;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;TP-LINK_3F14;7C:8B:CA:2C:3F:14;;11;No;WPA2,AES-CCM;No;270.0;0;6;0;0;0;0;0;;;Tue Apr 16 02:03:50 2019;Tue Apr 16 02:03:53 2019;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;Keenetic-9069;E4:18:6B:01:8F:D2;;2;No;WPA2,AES-CCM;No;270.0;0;16;0;8;0;0;8;;;Tue Apr 16 02:03:47 2019;Tue Apr 16 02:03:56 2019;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;TP-Link_5572;50:C7:BF:E6:55:72;;1;No;WPA2,AES-CCM;No;270.0;0;42;0;0;0;0;0;;;Tue Apr 16 02:03:47 2019;Tue Apr 16 02:03:56 2019;-70;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
